PROVINCIA,TOTAL,HOMBRES_MENOS_25,HOMBRES_25_44,HOMBRES_MAS_45,MUJERES_MENOS_25,MUJERES_25_44,MUJERES_MAS_45,AGRICULTURA,INDUSTRIA,CONSTRUCCION,SERVICIOS,SIN_EMPLEO_ANTERIOR,MONTH,YEAR
ALAVA,12288,658,2476,1790,645,3903,2816,144,2686,935,8004,519,1,2006
ALAVA,11349,514,2237,1629,481,3557,2931,143,2164,906,7607,529,1,2007
ALAVA,11548,489,2358,1588,453,3590,3070,155,2005,983,7865,540,1,2008
ALAVA,16709,1067,4573,2358,664,4618,3429,187,3252,2136,10557,577,1,2009
ALAVA,12371,657,2472,1741,675,3969,2857,149,2647,918,8064,593,2,2006
ALAVA,11421,505,2231,1590,495,3605,2995,146,2168,857,7680,570,2,2007
ALAVA,11824,524,2427,1606,469,3674,3124,175,1977,991,8096,585,2,2008
ALAVA,17506,1156,4793,2470,723,4831,3533,182,3435,2181,11072,636,2,2009
ALAVA,11794,599,2342,1734,607,3679,2833,143,2516,869,7693,573,3,2006
ALAVA,11541,518,2218,1573,518,3682,3032,159,2142,845,7799,596,3,2007
ALAVA,11653,504,2385,1595,446,3632,3091,174,1929,1009,7950,591,3,2008
ALAVA,18242,1200,5027,2629,768,5051,3567,199,3642,2221,11477,703,3,2009
ALAVA,11328,544,2227,1715,526,3555,2761,123,2435,871,7354,545,4,2006
ALAVA,10703,432,2021,1509,424,3396,2921,135,2041,747,7227,553,4,2007
ALAVA,11382,506,2397,1594,437,3449,2999,169,1866,1071,7672,604,4,2008
ALAVA,18674,1285,5308,2727,773,5032,3549,213,3767,2315,11662,717,4,2009
ALAVA,10747,539,1982,1588,517,3579,2542,94,2392,783,6901,577,5,2005
ALAVA,10854,480,2029,1683,456,3449,2757,110,2310,790,7145,499,5,2006
ALAVA,10114,379,1850,1472,352,3187,2874,121,1940,720,6807,526,5,2007
ALAVA,11140,455,2304,1575,423,3380,3003,153,1807,1030,7580,570,5,2008
ALAVA,17979,1215,5052,2652,706,4813,3541,209,3577,2233,11262,698,5,2009
ALAVA,10486,483,1859,1594,475,3522,2553,83,2344,763,6745,551,6,2005
ALAVA,10405,420,1868,1632,400,3345,2740,110,2185,728,6896,486,6,2006
ALAVA,9865,361,1764,1402,346,3135,2857,108,1871,697,6670,519,6,2007
ALAVA,10825,494,2214,1560,369,3273,2915,131,1778,1055,7291,570,6,2008
ALAVA,17511,1106,4837,2667,669,4670,3562,205,3436,2169,10971,730,6,2009
ALAVA,10493,487,1906,1597,475,3525,2503,80,2320,780,6781,532,7,2005
ALAVA,10502,419,1989,1612,414,3405,2663,97,2135,822,6984,464,7,2006
ALAVA,10187,421,1900,1389,372,3255,2850,121,1842,764,6969,491,7,2007
ALAVA,10981,498,2280,1577,404,3373,2849,121,1787,1060,7465,548,7,2008
ALAVA,17391,1067,4810,2674,648,4636,3556,221,3373,2194,10907,696,7,2009
ALAVA,11273,584,2281,1657,481,3712,2558,87,2609,921,7153,503,8,2005
ALAVA,11151,472,2308,1675,419,3560,2717,104,2306,942,7343,456,8,2006
ALAVA,10828,480,2211,1487,415,3400,2835,120,2019,862,7375,452,8,2007
ALAVA,11528,541,2590,1656,418,3453,2870,130,1910,1210,7754,524,8,2008
ALAVA,18045,1048,5061,2763,682,4893,3598,227,3571,2261,11292,694,8,2009
ALAVA,10986,563,2001,1671,519,3649,2583,110,2506,845,6985,540,9,2005
ALAVA,10955,433,2094,1621,447,3563,2797,110,2249,836,7286,474,9,2006
ALAVA,10669,424,2022,1474,405,3409,2935,122,1929,769,7369,480,9,2007
ALAVA,12144,591,2771,1703,479,3549,3051,163,2021,1213,8168,579,9,2008
ALAVA,18708,1176,5064,2841,784,5021,3822,212,3661,2171,11924,740,9,2009
ALAVA,10963,584,2049,1676,551,3533,2570,126,2460,813,7029,535,10,2005
ALAVA,10828,423,2036,1579,463,3518,2809,118,2152,814,7257,487,10,2006
ALAVA,10525,440,1997,1449,399,3309,2931,123,1860,774,7270,498,10,2007
ALAVA,12935,692,3075,1770,537,3765,3096,163,2085,1341,8724,622,10,2008
ALAVA,19078,1180,5193,2889,814,5124,3878,257,3651,2164,12239,767,10,2009
ALAVA,11113,598,2098,1714,538,3520,2645,131,2470,823,7165,524,11,2005
ALAVA,10562,449,1969,1552,423,3392,2777,126,2084,826,7026,500,11,2006
ALAVA,10474,447,2028,1491,411,3215,2882,135,1849,842,7137,511,11,2007
ALAVA,14042,821,3552,1941,606,4003,3119,194,2337,1515,9340,656,11,2008
ALAVA,11074,623,2322,1723,484,3318,2604,141,2538,910,7011,474,12,2005
ALAVA,10562,443,2159,1596,376,3268,2720,137,2130,923,6909,463,12,2006
ALAVA,10499,457,2216,1538,357,3120,2811,143,1945,945,6990,476,12,2007
ALAVA,15008,934,4157,2181,547,4057,3132,217,2674,1836,9654,627,12,2008
ALBACETE,25275,1441,3830,3252,1986,9462,5304,1167,4312,3891,13286,2619,1,2006
ALBACETE,23814,1262,3347,3106,1639,8868,5592,884,3807,3727,12887,2509,1,2007
ALBACETE,24603,1492,3516,2998,1718,8855,6024,990,3632,3762,13533,2686,1,2008
ALBACETE,33408,2809,7005,4691,2080,10024,6799,1352,5448,6410,17870,2328,1,2009
ALBACETE,25712,1474,3856,3222,2118,9650,5392,1201,4390,3856,13530,2735,2,2006
ALBACETE,24168,1270,3349,3050,1714,9072,5713,919,3814,3707,13030,2698,2,2007
ALBACETE,25383,1535,3748,3082,1799,8991,6228,1257,3730,3862,13822,2712,2,2008
ALBACETE,35049,3006,7453,4929,2291,10391,6979,1445,5821,6747,18532,2504,2,2009
ALBACETE,25534,1474,3763,3134,2104,9608,5451,1142,4349,3839,13411,2793,3,2006
ALBACETE,24101,1330,3282,2931,1774,8994,5790,944,3823,3663,12906,2765,3,2007
ALBACETE,25196,1580,3730,3124,1728,8782,6252,1065,3754,3979,13627,2771,3,2008
ALBACETE,36733,3206,7957,5065,2459,10870,7176,1676,6216,6923,19138,2780,3,2009
ALBACETE,24596,1378,3416,3009,2039,9362,5392,1067,4379,3585,12795,2770,4,2006
ALBACETE,23592,1350,3150,2890,1742,8734,5726,899,3871,3562,12498,2762,4,2007
ALBACETE,25183,1626,3759,3136,1697,8669,6296,1060,3853,4032,13511,2727,4,2008
ALBACETE,37520,3246,8172,5250,2470,11037,7345,1676,6522,6908,19338,3076,4,2009
ALBACETE,23790,1289,3441,3109,1966,9280,4705,944,4577,3492,12372,2405,5,2005
ALBACETE,23511,1300,3246,2867,1907,8959,5232,953,4224,3474,12190,2670,5,2006
ALBACETE,22530,1190,2927,2764,1622,8399,5628,829,3664,3433,11903,2701,5,2007
ALBACETE,24917,1664,3802,3164,1730,8427,6130,928,3878,4105,13192,2814,5,2008
ALBACETE,37013,3209,7851,5110,2525,10925,7393,1522,6405,6647,19196,3243,5,2009
ALBACETE,22546,1324,3122,2869,1907,8685,4639,893,4165,3205,11805,2478,6,2005
ALBACETE,22000,1214,2925,2761,1710,8330,5060,859,3909,3324,11322,2586,6,2006
ALBACETE,21697,1159,2738,2693,1570,8055,5482,799,3436,3315,11462,2685,6,2007
ALBACETE,24106,1658,3817,3130,1639,7958,5904,893,3781,4092,12571,2769,6,2008
ALBACETE,35397,2992,7384,4973,2301,10443,7304,1444,6024,6343,18426,3160,6,2009
ALBACETE,22373,1319,3132,2929,1816,8508,4669,934,4068,3251,11695,2425,7,2005
ALBACETE,21700,1123,2936,2788,1639,8174,5040,833,3831,3330,11152,2554,7,2006
ALBACETE,21650,1097,2861,2661,1490,8072,5469,801,3398,3317,11534,2600,7,2007
ALBACETE,24292,1622,3999,3225,1610,7958,5878,913,3797,4284,12648,2650,7,2008
ALBACETE,34939,2911,7376,4989,2252,10200,7211,1498,5860,6399,17975,3207,7,2009
ALBACETE,23356,1425,3511,3032,1912,8741,4735,1036,4218,3595,12007,2500,8,2005
ALBACETE,22239,1248,3105,2906,1629,8271,5080,859,3956,3563,11296,2565,8,2006
ALBACETE,22043,1182,3101,2744,1498,8115,5403,800,3506,3619,11636,2482,8,2007
ALBACETE,25509,1786,4551,3480,1606,8166,5920,930,4038,4766,13193,2582,8,2008
ALBACETE,35910,2924,7719,5187,2327,10441,7312,1468,5953,6795,18460,3234,8,2009
ALBACETE,23669,1442,3462,2941,1981,9004,4839,1019,4172,3480,12387,2611,9,2005
ALBACETE,22708,1226,3083,2834,1697,8639,5229,800,3956,3445,11996,2511,9,2006
ALBACETE,22665,1332,3067,2690,1631,8363,5582,767,3468,3606,12149,2675,9,2007
ALBACETE,26290,1933,4642,3514,1655,8448,6098,821,4123,4825,13763,2758,9,2008
ALBACETE,36254,2923,7617,5110,2470,10715,7419,1355,5721,6684,19180,3314,9,2009
ALBACETE,24424,1540,3531,2925,2081,9335,5012,1221,4247,3555,12887,2514,10,2005
ALBACETE,23124,1256,3067,2824,1806,8864,5307,875,3913,3412,12360,2564,10,2006
ALBACETE,23025,1309,3069,2694,1688,8524,5741,790,3487,3536,12531,2681,10,2007
ALBACETE,28373,2232,5235,3772,1892,8919,6323,1153,4411,5061,14855,2893,10,2008
ALBACETE,38025,3099,8141,5379,2619,11084,7703,2036,5826,6706,20086,3371,10,2009
ALBACETE,24213,1429,3530,2946,1977,9250,5081,1248,4221,3519,12643,2582,11,2005
ALBACETE,23242,1303,3101,2875,1802,8764,5397,872,3935,3421,12424,2590,11,2006
ALBACETE,23151,1367,3131,2752,1685,8417,5799,872,3452,3553,12552,2722,11,2007
ALBACETE,30266,2544,5882,4029,2049,9318,6444,1340,4763,5527,15732,2904,11,2008
ALBACETE,24661,1435,3808,3185,1897,9194,5142,1198,4245,3916,12728,2574,12,2005
ALBACETE,23072,1300,3201,3022,1620,8556,5373,846,3902,3609,12249,2466,12,2006
ALBACETE,23124,1310,3316,2877,1581,8272,5768,855,3498,3626,12574,2571,12,2007
ALBACETE,31642,2643,6693,4478,1950,9366,6512,1350,5007,6339,16115,2831,12,2008
ALICANTE/ALACANT,85665,4992,16957,14472,5350,26863,17031,1583,24324,8549,44629,6580,1,2006
ALICANTE/ALACANT,88068,5026,17134,14496,5104,26842,19466,1522,23582,9650,47034,6280,1,2007
ALICANTE/ALACANT,101513,6361,21350,16623,5546,29012,22621,2177,23697,13714,54919,7006,1,2008
ALICANTE/ALACANT,161250,11845,44634,27539,7888,40553,28791,2620,33655,35448,81817,7710,1,2009
ALICANTE/ALACANT,85157,4915,16574,14328,5511,26731,17098,1661,24031,8346,44434,6685,2,2006
ALICANTE/ALACANT,87890,4986,16778,14399,5232,26916,19579,1512,23168,9659,47031,6520,2,2007
ALICANTE/ALACANT,104234,6577,22314,16994,5769,29601,22979,2502,23728,14513,56175,7316,2,2008
ALICANTE/ALACANT,169349,12663,47178,28597,8599,42579,29733,2792,35251,37299,85490,8517,2,2009
ALICANTE/ALACANT,84271,4652,15952,14261,5449,26584,17373,1611,24047,8190,43927,6496,3,2006
ALICANTE/ALACANT,87058,4839,16269,14396,5188,26657,19709,1556,23382,9611,45944,6565,3,2007
ALICANTE/ALACANT,104164,6575,22558,17297,5614,29089,23031,2107,24576,15335,54661,7485,3,2008
ALICANTE/ALACANT,175969,13115,49080,29769,8917,44163,30925,2969,37268,38652,87724,9356,3,2009
ALICANTE/ALACANT,82672,4492,15427,14306,5217,25867,17363,1518,24697,8105,41978,6374,4,2006
ALICANTE/ALACANT,86034,4675,16001,14493,5089,25983,19793,1534,23810,9608,44439,6643,4,2007
ALICANTE/ALACANT,106887,6887,23426,17804,5714,29552,23504,2149,25313,16233,55360,7832,4,2008
ALICANTE/ALACANT,178533,12949,49949,30412,8905,44722,31596,3053,38223,39405,88060,9792,4,2009
ALICANTE/ALACANT,76817,4110,14798,13924,4951,24358,14676,1238,24736,7174,37803,5866,5,2005
ALICANTE/ALACANT,79006,4219,14276,13824,4919,24533,17235,1389,23852,7757,39902,6106,5,2006
ALICANTE/ALACANT,84409,4453,15444,14290,4915,25488,19819,1532,23148,9475,43648,6606,5,2007
ALICANTE/ALACANT,108420,7108,24406,18276,5630,29475,23525,2173,25384,17535,55200,8128,5,2008
ALICANTE/ALACANT,177584,12554,49361,30426,8713,44646,31884,3014,37643,38902,87699,10326,5,2009
ALICANTE/ALACANT,75440,4325,14096,13495,4822,23791,14911,1472,23388,7143,37065,6372,6,2005
ALICANTE/ALACANT,77483,4273,13814,13452,4715,24007,17222,1633,23022,7754,38906,6168,6,2006
ALICANTE/ALACANT,82557,4578,14935,14004,4714,24705,19621,1600,22083,9732,42360,6782,6,2007
ALICANTE/ALACANT,109763,7311,25337,18623,5435,29550,23507,2226,25051,18998,55097,8391,6,2008
ALICANTE/ALACANT,174775,11774,47960,30323,8125,44470,32123,3164,36505,38174,86137,10795,6,2009
ALICANTE/ALACANT,73052,3981,13940,13145,4337,22908,14741,1298,22701,7243,35642,6168,7,2005
ALICANTE/ALACANT,76345,4102,14069,13192,4450,23403,17129,1348,22748,8228,38072,5949,7,2006
ALICANTE/ALACANT,82141,4575,15646,14049,4357,24147,19367,1614,21900,10534,41497,6596,7,2007
ALICANTE/ALACANT,110373,7286,26622,19058,5138,29002,23267,2127,25407,20060,54471,8308,7,2008
ALICANTE/ALACANT,172122,11281,47243,30449,7827,43208,32114,3245,35924,38000,83770,11183,7,2009
ALICANTE/ALACANT,75321,4070,15224,13848,4331,23081,14767,1276,24302,7890,35751,6102,8,2005
ALICANTE/ALACANT,79081,4234,15612,13921,4369,23762,17183,1304,24155,9354,38633,5635,8,2006
ALICANTE/ALACANT,86205,4806,17936,14984,4321,24550,19608,1635,23327,12259,42599,6385,8,2007
ALICANTE/ALACANT,117222,7664,29745,20498,5352,30041,23922,2195,27650,22619,56374,8384,8,2008
ALICANTE/ALACANT,177362,11473,49365,31886,7891,43871,32876,3332,37863,39524,85181,11462,8,2009
ALICANTE/ALACANT,75377,4237,14691,13533,4756,23342,14818,1242,23474,7485,36620,6556,9,2005
ALICANTE/ALACANT,79198,4477,15273,13577,4702,23891,17278,1431,23387,8844,39742,5794,9,2006
ALICANTE/ALACANT,87167,5234,17586,14829,4762,24862,19894,1684,22872,11764,44155,6692,9,2007
ALICANTE/ALACANT,122341,8493,30906,21190,5959,31322,24471,2170,28353,22992,59961,8865,9,2008
ALICANTE/ALACANT,182727,12432,50228,32374,8831,45197,33665,3292,38054,39281,89567,12533,9,2009
ALICANTE/ALACANT,77477,4426,15016,13757,5022,23775,15481,1261,24071,7554,38777,5814,10,2005
ALICANTE/ALACANT,81182,4627,15611,13823,4873,24359,17889,1279,23638,8796,41556,5913,10,2006
ALICANTE/ALACANT,88846,5292,17916,15119,4883,25254,20382,1629,22983,11654,46077,6503,10,2007
ALICANTE/ALACANT,130805,9549,33655,22416,6633,33103,25449,2339,29227,24670,65167,9402,10,2008
ALICANTE/ALACANT,186492,12610,50949,32841,9137,46447,34508,3407,38357,39107,92666,12955,10,2009
ALICANTE/ALACANT,80952,4751,15583,14015,5326,25015,16262,1294,24129,7709,41323,6497,11,2005
ALICANTE/ALACANT,83706,4803,15911,14113,4988,25371,18520,1348,23421,8905,44019,6013,11,2006
ALICANTE/ALACANT,92491,5637,18730,15459,5202,26412,21051,1681,23002,11942,49128,6738,11,2007
ALICANTE/ALACANT,140666,10318,37240,24007,7120,35447,26534,2583,30317,27037,71174,9555,11,2008
ALICANTE/ALACANT,83120,4680,16610,14390,5000,25737,16703,1363,24860,8290,42303,6304,12,2005
ALICANTE/ALACANT,85896,4755,17040,14543,4744,25851,18963,1358,23998,9703,44921,5916,12,2006
ALICANTE/ALACANT,95539,5664,20193,16078,5039,26828,21737,1787,23608,13185,50442,6517,12,2007
ALICANTE/ALACANT,150608,10769,41701,26086,7113,37347,27592,2758,32138,30467,75482,9763,12,2008
ALMERIA,24570,1717,5683,3360,1982,8733,3095,2320,1478,3463,14799,2510,1,2006
ALMERIA,26138,1839,5873,3716,1920,8932,3858,2266,1548,4024,15234,3066,1,2007
ALMERIA,31716,2082,7801,4585,2036,10469,4743,3089,1719,5782,17589,3537,1,2008
ALMERIA,51692,4066,16842,8478,2384,13699,6223,2693,3776,15551,27268,2404,1,2009
ALMERIA,25171,1799,5782,3385,2105,8905,3195,2555,1498,3500,14916,2702,2,2006
ALMERIA,26327,1775,5628,3678,2108,9202,3936,2314,1547,3908,15465,3093,2,2007
ALMERIA,33071,2206,8534,4968,1974,10532,4857,3685,1761,6334,17686,3605,2,2008
ALMERIA,54745,4424,17710,8911,2621,14556,6523,2829,4062,16467,28711,2676,2,2009
ALMERIA,25488,1830,5659,3404,2223,9047,3325,2678,1515,3434,15026,2835,3,2006
ALMERIA,26822,1811,5587,3647,2225,9381,4171,2543,1548,3849,15655,3227,3,2007
ALMERIA,32729,2336,8449,4940,2022,10182,4800,3115,1777,6694,17415,3728,3,2008
ALMERIA,56499,4690,18153,9152,2801,14983,6720,3043,4060,16904,29337,3155,3,2009
ALMERIA,24765,1679,5274,3393,2171,8896,3352,2515,1509,3405,14597,2739,4,2006
ALMERIA,26701,1737,5540,3656,2143,9414,4211,2586,1511,3919,15392,3293,4,2007
ALMERIA,34566,2579,8940,5138,2241,10607,5061,3532,1823,7290,18488,3433,4,2008
ALMERIA,57753,4589,18560,9356,3030,15353,6865,3278,4149,17138,29789,3399,4,2009
ALMERIA,20775,1218,4169,2850,1903,7791,2844,1564,1250,2921,12891,2149,5,2005
ALMERIA,24930,1594,4958,3277,2271,9206,3624,2411,1496,3269,15016,2738,5,2006
ALMERIA,27250,1726,5556,3640,2239,9740,4349,2738,1490,3981,15774,3267,5,2007
ALMERIA,36410,2674,9627,5472,2274,11156,5207,3807,1964,7850,19223,3566,5,2008
ALMERIA,58066,4246,18557,9391,2899,15883,7090,3410,4208,16725,30033,3690,5,2009
ALMERIA,25681,1364,4617,2992,2682,10106,3920,2634,1331,2962,16318,2436,6,2005
ALMERIA,30272,1906,5770,3476,2966,11486,4668,3666,1558,3426,18443,3179,6,2006
ALMERIA,31410,1969,6152,3816,2842,11449,5182,3629,1583,4275,18321,3602,6,2007
ALMERIA,40914,2997,10857,5836,2628,12704,5892,4648,2103,8622,21470,4071,6,2008
ALMERIA,61094,4108,19044,9674,3202,17347,7719,3788,4357,16512,32583,3854,6,2009
ALMERIA,31523,1677,5895,3384,3225,12531,4811,3343,1509,3194,20798,2679,7,2005
ALMERIA,32471,2010,6674,3678,3086,12050,4973,4011,1603,3628,20129,3100,7,2006
ALMERIA,33650,2105,7095,4056,2906,12077,5411,4030,1639,4641,19673,3667,7,2007
ALMERIA,44922,3393,12422,6357,2821,13628,6301,5234,2280,9241,23611,4556,7,2008
ALMERIA,63365,4155,20056,10104,3247,17740,8063,3903,4440,16528,34231,4263,7,2009
ALMERIA,30484,1751,6187,3456,3080,11602,4408,3086,1519,3414,19670,2795,8,2005
ALMERIA,32120,2024,6860,3823,2938,11689,4786,3702,1586,4085,19898,2849,8,2006
ALMERIA,34630,2124,7808,4328,2872,12057,5441,4055,1725,5123,20139,3588,8,2007
ALMERIA,46937,3592,13538,6819,2822,13815,6351,5310,2382,10079,24365,4801,8,2008
ALMERIA,65076,4165,21013,10517,3245,17985,8151,3935,4606,17014,35106,4415,8,2009
ALMERIA,28598,1783,5681,3247,2941,10973,3973,2631,1510,3286,18099,3072,9,2005
ALMERIA,30527,1992,6284,3697,2787,11164,4603,3173,1605,3933,18838,2978,9,2006
ALMERIA,33593,2052,7369,4130,2741,11969,5332,3690,1709,4844,19688,3662,9,2007
ALMERIA,47626,3707,13722,7025,2867,13902,6403,5044,2507,10451,24584,5040,9,2008
ALMERIA,65547,4150,20883,10588,3150,18518,8258,3875,4729,16925,35236,4782,9,2009
ALMERIA,25884,1736,5391,3233,2461,9662,3401,2356,1508,3234,15849,2937,10,2005
ALMERIA,27495,1927,5674,3549,2357,9930,4058,2493,1567,3784,16550,3101,10,2006
ALMERIA,31234,1722,6864,4129,2257,11292,4970,3083,1655,4828,18168,3500,10,2007
ALMERIA,47360,3989,14066,7162,2772,13277,6094,4671,2547,10911,23841,5390,10,2008
ALMERIA,63537,4048,20487,10394,2884,17705,8019,4043,4546,16907,32990,5051,10,2009
ALMERIA,24698,1712,5320,3213,2187,9102,3164,2107,1465,3311,15148,2667,11,2005
ALMERIA,26364,1951,5623,3566,2086,9254,3884,2258,1540,3862,15585,3119,11,2006
ALMERIA,30427,1814,6973,4162,2144,10657,4677,2940,1654,5023,17391,3419,11,2007
ALMERIA,48747,4118,14921,7489,2698,13360,6161,4731,2700,11803,24402,5111,11,2008
ALMERIA,24276,1721,5679,3369,1941,8563,3003,2210,1461,3556,14533,2516,12,2005
ALMERIA,25453,1846,5804,3666,1835,8606,3696,2156,1538,4140,14756,2863,12,2006
ALMERIA,30257,1909,7357,4359,1993,10091,4548,2780,1688,5538,16896,3355,12,2007
ALMERIA,49683,4002,16021,8081,2409,13116,6054,4806,2836,12809,24347,4885,12,2008
ASTURIAS,59953,4065,12142,6769,4464,21025,11488,692,5908,5891,39738,7724,1,2006
ASTURIAS,56644,3419,10935,7361,3580,19054,12295,586,6241,5262,38044,6511,1,2007
ASTURIAS,54623,2913,10900,7380,2837,18236,12357,683,6037,5393,37272,5238,1,2008
ASTURIAS,70366,4730,18089,10007,3485,20756,13299,725,8443,11187,45390,4621,1,2009
ASTURIAS,60028,3998,12073,6872,4508,20983,11594,681,5815,6007,39755,7770,2,2006
ASTURIAS,55613,3127,10311,7275,3599,19047,12254,579,6036,4948,37533,6517,2,2007
ASTURIAS,54371,2727,10699,7342,2855,18316,12432,681,5867,5388,37212,5223,2,2008
ASTURIAS,73558,5104,19041,10301,3714,21719,13679,714,8919,11787,47127,5011,2,2009
ASTURIAS,59124,3822,11729,6854,4371,20621,11727,688,5731,5741,39272,7692,3,2006
ASTURIAS,53738,2852,9711,7095,3422,18544,12114,564,6064,4726,36068,6316,3,2007
ASTURIAS,52474,2579,10422,7350,2609,17297,12217,661,5632,5503,35609,5069,3,2008
ASTURIAS,74381,5235,19252,10367,3834,21917,13776,736,9123,11662,47476,5384,3,2009
ASTURIAS,55788,3511,10819,6700,3874,19441,11443,663,5534,5271,37148,7172,4,2006
ASTURIAS,51848,2754,9334,6967,3151,17641,12001,563,5981,4509,34499,6296,4,2007
ASTURIAS,52037,2551,10438,7397,2523,16934,12194,631,5631,5706,35094,4975,4,2008
ASTURIAS,73770,5077,18995,10374,3737,21655,13932,711,9050,11552,46905,5552,4,2009
ASTURIAS,57681,3921,11774,6464,4118,20428,10976,622,5169,6307,37065,8518,5,2005
ASTURIAS,52194,3139,9655,6444,3475,18213,11268,616,5191,4820,34727,6840,5,2006
ASTURIAS,48288,2452,8460,6726,2651,16406,11593,563,5668,4250,32094,5713,5,2007
ASTURIAS,50778,2508,10294,7282,2414,16340,11940,636,5574,5739,33919,4910,5,2008
ASTURIAS,72819,4927,18831,10315,3589,21341,13816,689,9103,11415,46028,5584,5,2009
ASTURIAS,54014,3903,10520,6077,3918,18972,10624,617,4893,5759,34266,8479,6,2005
ASTURIAS,49882,3033,9192,6376,3060,17300,10921,611,5147,4753,32777,6594,6,2006
ASTURIAS,46364,2495,8212,6529,2498,15425,11205,539,5572,4128,30402,5723,6,2007
ASTURIAS,48959,2442,10140,7338,2086,15372,11581,622,5526,5894,32327,4590,6,2008
ASTURIAS,70592,4730,18211,10156,3285,20530,13680,666,8985,11256,44239,5446,6,2009
ASTURIAS,51247,3389,9981,5864,3565,18013,10435,582,4722,5409,32740,7794,7,2005
ASTURIAS,48449,2777,9030,6259,2874,16796,10713,585,5114,4590,31951,6209,7,2006
ASTURIAS,44911,2268,8190,6364,2335,14897,10857,499,5371,4142,29528,5371,7,2007
ASTURIAS,47461,2321,9989,7231,1909,14746,11265,591,5207,5838,31492,4333,7,2008
ASTURIAS,67261,4501,17203,9984,3052,19405,13116,648,8342,10807,42105,5359,7,2009
ASTURIAS,51392,3329,10123,5961,3471,18099,10409,589,4909,5385,32894,7615,8,2005
ASTURIAS,49137,2835,9318,6366,2838,17101,10679,563,5436,4617,32343,6178,8,2006
ASTURIAS,45643,2261,8587,6378,2309,15180,10928,507,5445,4234,30285,5172,8,2007
ASTURIAS,47682,2400,10375,7290,1853,14779,10985,568,5232,6160,31615,4107,8,2008
ASTURIAS,68433,4365,17555,10248,3075,19908,13282,663,8309,10861,43337,5263,8,2009
ASTURIAS,52946,3554,10261,6004,3883,18785,10459,552,4950,5449,34185,7810,9,2005
ASTURIAS,49985,3005,9280,6459,3013,17284,10944,541,5401,4570,33213,6260,9,2006
ASTURIAS,46972,2424,8643,6430,2556,15775,11144,540,5437,4265,31511,5219,9,2007
ASTURIAS,49954,2638,10892,7450,2051,15642,11281,578,5379,6486,33328,4183,9,2008
ASTURIAS,70389,4633,17836,10351,3463,20484,13622,699,8301,10988,44891,5510,9,2009
ASTURIAS,55334,3916,10870,6195,4212,19368,10773,605,5404,5677,36100,7548,10,2005
ASTURIAS,51443,3121,9516,6590,3327,17556,11333,574,5717,4610,34265,6277,10,2006
ASTURIAS,49133,2780,9155,6561,2875,16262,11500,609,5720,4372,33182,5250,10,2007
ASTURIAS,53917,3139,12110,7895,2564,16592,11617,669,5803,7195,35731,4519,10,2008
ASTURIAS,70787,4605,17718,10551,3606,20475,13832,729,8154,11025,45341,5538,10,2009
ASTURIAS,56370,3881,10981,6268,4318,19891,11031,626,5441,5533,37147,7623,11,2005
ASTURIAS,52382,3123,9799,6679,3382,17855,11544,591,5812,4749,34926,6304,11,2006
ASTURIAS,50146,2894,9400,6793,2928,16403,11728,630,5727,4573,33806,5410,11,2007
ASTURIAS,58251,3659,13744,8532,2807,17502,12007,715,6270,8264,38277,4725,11,2008
ASTURIAS,56753,4010,11715,6549,4115,19491,10873,662,5686,6033,36758,7614,12,2005
ASTURIAS,52913,3219,10414,7014,3187,17581,11498,595,6045,5320,34667,6286,12,2006
ASTURIAS,51229,3001,10292,7057,2898,16360,11621,659,5945,5220,34017,5388,12,2007
ASTURIAS,63614,4170,16486,9393,2967,18249,12349,778,7168,10348,40444,4876,12,2008
AVILA,7524,438,1139,1103,606,2795,1443,454,889,1014,4323,844,1,2006
AVILA,7103,365,1059,1100,453,2611,1515,404,925,942,3931,901,1,2007
AVILA,7993,460,1410,1232,483,2774,1634,467,920,1297,4321,988,1,2008
AVILA,11744,868,2912,2151,575,3319,1919,702,1180,3306,5909,647,1,2009
AVILA,7451,427,1086,1108,577,2797,1456,442,899,956,4312,842,2,2006
AVILA,7085,366,1012,1105,485,2607,1510,401,933,903,3880,968,2,2007
AVILA,8063,451,1389,1253,489,2817,1664,474,920,1304,4319,1046,2,2008
AVILA,12120,941,2940,2243,616,3406,1974,696,1243,3402,6063,716,2,2009
AVILA,7464,412,1018,1163,584,2821,1466,450,867,1003,4273,871,3,2006
AVILA,7085,377,954,1121,495,2588,1550,405,939,925,3842,974,3,2007
AVILA,8307,420,1447,1373,480,2920,1667,462,1147,1435,4246,1017,3,2008
AVILA,12249,963,2857,2273,660,3483,2013,692,1247,3329,6161,820,3,2009
AVILA,7171,445,946,1123,542,2692,1423,437,841,958,4059,876,4,2006
AVILA,7004,386,957,1109,453,2578,1521,406,978,898,3723,999,4,2007
AVILA,8518,470,1466,1398,478,2974,1732,472,1230,1475,4307,1034,4,2008
AVILA,12237,954,2847,2240,676,3496,2024,687,1265,3273,6122,890,4,2009
AVILA,6633,392,956,1030,511,2497,1247,409,735,996,3708,785,5,2005
AVILA,6693,352,857,1087,512,2494,1391,406,767,914,3756,850,5,2006
AVILA,7056,381,976,1085,452,2618,1544,399,1007,898,3739,1013,5,2007
AVILA,8509,497,1527,1406,448,2907,1724,472,1201,1542,4220,1074,5,2008
AVILA,12071,957,2782,2207,679,3407,2039,673,1251,3220,5986,941,5,2009
